doc_id,role,company,cik,form,filing_date,exhibit,url,filename,sha256,bytes,licence,track,split,amendment_of,pages_est,redaction
01,pilot,Altiris Inc. / Dell Products L.P.,0001139650,10-K,2003-03-28,EX-10.7,https://www.sec.gov/Archives/edgar/data/1139650/000102140803005194/dex107.txt,documents/01_altiris_dell_license.txt,90349b6051b8945b458437669ef4e0e29d076b05711d991f3daf3beaab6ac261,131944,US federal government public record; no redistribution restriction,C,development,,39,light
02,pilot,Portal Software Inc.,0001080306,10-K,2002-03-25,EX-10.16,https://www.sec.gov/Archives/edgar/data/1080306/000101287002001436/dex1016.txt,documents/02_portal_software_license.txt,ba57758f25c77567faa4525969b5a596e2e22adb0323eb39c3cbbcc0abe72c37,51446,US federal government public record; no redistribution restriction,C,development,,16,none
03,pilot,Unified Western Grocers Inc. / C & K Market,0000320431,10-Q,2004-02-10,EX-10.62,https://www.sec.gov/Archives/edgar/data/320431/000119312504018389/dex1062.htm,documents/03_unified_western_grocers_supply.htm,3ad4f1ac1cfb67f6c7e10d54b767b819404b683e8bd6eb3d33862b76c80051da,91382,US federal government public record; no redistribution restriction,C,development,,13,none
04,pilot,Strategic Diagnostics Inc. / DuPont Qualicon,0000911649,10-Q,2005-08-15,EX-10.1,https://www.sec.gov/Archives/edgar/data/911649/000095011605002781/ex10-1.txt,documents/04_strategic_diagnostics_distribution.txt,84101346f742796895823fc65f129a8e51bc806e395f473b9e5e0b8a1f411fbf,67520,US federal government public record; no redistribution restriction,C,development,,22,none
05,pilot,Elite Pharmaceuticals Inc. / TPN,0001053369,10-Q,2016-11-17,EX-10.6,https://www.sec.gov/Archives/edgar/data/1053369/000114420416135163/v453381_ex10-6.htm,documents/05_elite_pharma_amendment1.htm,3567c80b192b548ed8ea3a306b2019be88b22fe4163530cf3928b60bb787cecc,20889,US federal government public record; no redistribution restriction,C,development,05_pred,2,none
05_pred,predecessor,Elite Pharmaceuticals Inc. / TPN,0001053369,10-K,2011-06-29,EX-10.71,https://www.sec.gov/Archives/edgar/data/1053369/000114420411038267/v227306_ex10-71.htm,predecessors/05_pred_elite_pharma_original_supply.htm,62999de1c87780f272cae4e61b2208b1b49cdecef3ba5fc2e50d041996949b91,155935,US federal government public record; no redistribution restriction,C,development,,19,light
06,pilot,Alarm.com Holdings Inc. / Marshall Property LLC,0001459200,10-Q,2016-11-14,EX-10.3,https://www.sec.gov/Archives/edgar/data/1459200/000145920016000050/a103fourthamendmenttolease.htm,documents/06_alarmcom_lease_amendment4.htm,6f08b1f86f86bb782603f42ceb1e3438ff8fb1ee4dfe8a937a4907b7c55a8aae,31472,US federal government public record; no redistribution restriction,C,development,06_pred,3,none
06_pred,predecessor,Alarm.com Holdings Inc. / Marshall Property LLC,0001459200,S-1,2015-05-22,EX-10.2,https://www.sec.gov/Archives/edgar/data/1459200/000119312515198768/d723141dex102.htm,predecessors/06_pred_alarmcom_lease_original.htm,c1597600c95b0e9ac4867e4dee663a9f00ce20e2474ce9addf56642abd5e7f1b,479944,US federal government public record; no redistribution restriction,C,development,,103,none
07,pilot,Cerus Corporation / Ash Stevens Inc.,0001020214,10-K,2024-03-05,EX-10.6,https://www.sec.gov/Archives/edgar/data/1020214/000095017024026195/cers-ex10_6.htm,documents/07_cerus_ash_stevens_ar_supply.htm,5cc4349acafbd0ca4eb114d796a8174addcf4cbb794b7418ee663edbd5e6ee9f,134334,US federal government public record; no redistribution restriction,C,validation,07_pred,11,heavy
07_pred,predecessor,Cerus Corporation / Ash Stevens Inc.,0001020214,10-Q,2011-11-03,EX-10.1,https://www.sec.gov/Archives/edgar/data/1020214/000119312511295406/d236182dex101.htm,predecessors/07_pred_cerus_ash_stevens_ar_2011.htm,5f3d7c95bbb3ae025852d07f6eaa15df095a81e9320e5e06fa4ccf94a0cf7bbc,122517,US federal government public record; no redistribution restriction,C,validation,,19,heavy
08,pilot,Washington Gas Light Company,0000104819,10-K,2011-11-23,EX-10.1,https://www.sec.gov/Archives/edgar/data/104819/000119312511321368/d258211dex101.htm,documents/08_washington_gas_light_msa.htm,906b2ac94752b7485ead075e71be374b796b4a76f5458043544b1de29244668e,384826,US federal government public record; no redistribution restriction,C,sealed_holdout,,62,none
09,pilot,Escalade Incorporated,0000033488,10-Q,2003-10-24,EX-10.7,https://www.sec.gov/Archives/edgar/data/33488/000095015203009048/l03724aexv10w7.txt,documents/09_escalade_services.txt,380b75cd4219fa971af127089f3e7e82ea1a03adfb4971cc54018725515c5d6a,22562,US federal government public record; no redistribution restriction,C,validation,,7,none
10,pilot,Synacor Inc. / Embarq Management Company,0001408278,S-1/A,2012-02-01,EX-10.11.1,https://www.sec.gov/Archives/edgar/data/1408278/000119312512034176/d253349dex10111.htm,documents/10_synacor_embarq_msa.htm,3809cc2c7c140206e7d876bf9db4d5fee81056d06ea04ca92005b80ac1a2bb6a,307559,US federal government public record; no redistribution restriction,C,sealed_holdout,,30,light
